Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1381,360,2305,1068,1186,0,42
688,337,2816,515,725,0,33
1350,411,1185,1045,1856,583,41
1405,1461,1998,1578,1109,0,81
695,408,3160,573,853,63,48
1381,379,3033,485,833,50,53
1407,1696,1912,914,1016,0,58
1420,1597,890,1237,1370,0,48
1357,129,1567,1471,1405,195,55
1419,1055,1519,1482,1622,165,59
1417,-10,1487,410,694,64,51
1386,301,506,345,470,863,47
695,1374,2835,417,1045,212,36
1321,512,1502,918,931,68,45
1419,454,1339,1818,1168,0,76
1400,1865,1993,1484,1193,0,72
673,122,2287,1275,1088,581,49
1371,1227,948,479,1228,535,53
1392,1020,1553,1498,1245,0,72
1345,694,1979,1198,603,226,54
1334,2585,2102,1320,880,92,40
1413,1008,1610,856,1004,0,53
688,233,3624,1156,1257,48,72
1398,213,3215,952,620,0,30
1428,110,1914,790,719,523,52
1307,40,1656,468,509,911,65
697,721,870,637,1367,0,36
1372,2530,1946,749,1072,419,66
1357,177,1231,1144,1089,0,34
1377,203,1150,1155,707,891,52
1355,59,1464,1279,1295,0,64
1378,43,2286,1650,1065,245,68
1381,188,1534,1345,959,0,50
1415,1111,881,1696,1153,0,66
1328,999,2917,622,2105,329,57
687,98,3262,432,1015,0,30
692,201,2873,1019,803,18,35
1380,319,1103,1491,843,473,70
1417,499,883,1473,1381,67,64
688,273,1672,1285,1292,4,60
1365,606,2571,1719,753,0,55
1410,154,2762,992,1847,3,63
1347,189,1321,1087,711,625,32
1328,176,1311,1061,811,0,48
1192,815,2804,1226,1362,0,42
1357,464,1612,1029,1086,4,30
1392,2577,1662,1707,1007,0,66
677,372,1475,1190,909,0,27
1366,1312,1016,1076,731,0,44
1317,992,1606,1067,1128,675,63
1390,234,2585,979,1606,398,51
1383,120,1510,1262,869,0,71
1389,480,3370,250,590,126,27
672,146,3465,450,1885,0,30
1294,370,1665,1132,651,426,27
1357,235,1395,1007,1067,219,32
696,-3,2386,1293,1187,602,64
1359,1022,2100,1864,1981,30,57
1200,486,1867,988,1282,0,68
1428,1591,943,973,1419,140,51
1401,2198,2815,1143,1180,433,77
1308,1129,737,912,754,1214,48
1356,911,1076,1178,672,0,30
1407,93,1866,1231,1124,168,81
1373,571,2172,1459,1046,168,56
1336,574,1912,1390,1607,0,46
1359,1007,2671,732,1244,256,84
1344,631,1130,1284,1281,0,59
1334,22,998,1260,750,0,49
1406,296,2134,1669,1467,204,65
1356,549,1674,1303,1537,0,61
1350,309,2399,297,551,0,51
1426,1382,1778,1329,1567,0,57
668,117,2097,810,1480,133,59
1360,340,1711,1516,1813,753,66
1430,2241,1719,1155,1019,0,68
1332,1161,1529,1174,879,0,51
1341,339,2420,1232,1448,0,61
681,934,3013,491,1122,616,32
1388,159,1029,1511,1579,0,72
1408,369,1859,1276,1149,0,79
694,177,3354,564,937,300,31
1369,252,1292,1254,1181,534,63
1417,916,2024,660,1249,0,77
1372,138,2850,1892,1855,184,56
1344,1,1325,1478,1888,224,56
1362,1820,2206,881,946,0,33
1391,858,1249,1112,1164,377,32
1394,1644,1318,878,987,0,50
1265,249,1360,1102,876,1109,48
1378,638,2035,1522,1143,168,76
668,956,3364,438,1022,0,24
1372,481,1699,1254,1069,137,62
1390,358,2107,963,1407,104,78
1374,237,2630,996,1170,446,54
702,714,1960,1338,1374,0,64
684,103,1496,356,980,0,46
1425,1549,1591,1566,854,510,64
1378,344,1060,1611,964,0,37
1358,312,1759,1282,1174,94,61
1418,1276,1522,795,1107,24,35
1368,548,1499,1219,1514,0,53
1403,207,2383,1195,1496,420,66
1385,986,1297,713,990,132,60
1425,1384,1541,1551,1018,0,71
1304,824,1324,1071,834,1168,50
1411,612,2145,1119,1356,353,60
1351,14,1903,1325,940,372,73
676,521,2254,797,1222,196,63
696,2440,1792,1638,1448,0,68
1406,23,2912,1484,1268,0,72
1322,547,1270,1146,805,673,52
1396,1087,1064,1674,1169,0,73
1372,666,1659,771,1246,0,57
1400,431,1679,1218,747,558,30
1387,316,1583,1530,1538,0,77
1380,1857,1462,1224,1474,8,62
1324,1610,1714,1060,1517,214,52
1325,1577,1445,1207,599,775,68
694,76,3531,1133,811,546,35
1321,725,1361,1051,903,0,54
1364,824,2555,904,799,3,30
1421,1599,1630,1072,1353,0,73
1391,378,1362,1500,1286,6,78
1391,242,2326,577,1844,0,51
1404,201,2148,1746,1125,0,57
1341,365,1258,1217,701,840,34
1394,1013,2010,889,1425,0,64
1391,172,2887,707,911,596,50
1186,1198,1156,1226,769,420,39
1339,141,3686,426,1766,24,46
1414,916,1636,834,831,0,60
1355,12,1858,1779,1835,27,65
1358,1802,2073,1625,563,8,58
1353,62,1537,1100,829,180,38
1354,155,1924,1033,917,0,30
1394,62,2614,1499,1426,147,75
1404,1087,2060,918,987,0,59
658,1231,1766,1192,761,932,48
1386,219,1156,1107,1310,0,39
650,593,1711,976,1000,1019,29
692,681,3125,415,706,24,36
687,101,1211,591,682,829,32
1332,259,1765,1165,1792,351,50
701,242,1854,1228,1357,7,66
1337,59,1190,1233,783,1466,65
1393,855,2427,545,1088,595,32
1415,114,1623,975,1416,0,76
1359,42,1475,1302,874,0,54
1358,486,1513,1260,921,0,33
1426,450,2071,1842,1241,0,77
1390,1250,1499,1592,1176,0,59
1387,1648,2719,1750,1163,246,78
1343,601,1251,645,1249,385,42
1360,695,2838,1006,1233,599,73
1374,860,1411,1779,1159,0,56
1376,903,1917,395,588,781,55
1392,417,1671,774,1051,669,76
1398,1713,1012,1443,1895,0,63
1362,417,1170,1057,1187,0,52
1426,1588,1801,1789,1071,83,61
1374,313,1521,1135,1536,0,67
1389,2174,1144,1137,1706,0,56
1414,669,1457,1666,1098,208,64
680,628,3201,332,846,0,27
1389,246,972,690,1459,0,66
1415,2061,587,481,1020,423,63
1363,74,1484,1758,800,0,45
1397,861,2571,1627,1469,0,69
1373,1530,1302,1289,912,0,61
1385,-1,1874,1301,1009,0,67
700,336,1823,564,986,556,60
1352,420,1272,1022,1023,1,36
1388,2582,1723,1640,1036,0,66
1391,715,1389,1563,1105,0,78
1426,2096,1613,1379,1014,87,67
1406,1533,2285,1666,1342,80,66
1373,-24,835,1362,1247,81,62
1397,2369,1384,897,1058,0,76
1394,449,1241,1012,1099,0,65
1358,295,1116,1157,1385,0,63
1380,1647,1385,1799,1117,0,54
1400,886,1367,1858,926,0,61
1418,73,2196,2072,1894,0,64
1367,1043,1812,1078,687,298,49
1381,623,2321,663,1030,769,42
690,168,2298,1259,1416,358,68
1401,7,3518,1212,976,0,63
1357,127,1398,1121,836,472,49
1398,1743,1034,886,1320,52,45
1369,376,4023,421,1751,17,22
1409,668,1479,914,1411,145,74
711,20,3482,794,1220,108,61
1348,78,1971,1086,1205,674,42
1392,271,1137,385,1206,0,48
1350,117,2421,1670,1074,103,67
1366,540,1293,484,1049,11,45
1020,688,868,831,1704,0,41
1404,1099,1855,1798,1181,272,72
1354,773,500,1307,1288,0,59
665,438,2935,565,864,723,48
1390,480,3086,1625,1377,0,77
1351,74,829,1188,1131,0,47
1370,1271,2263,1789,967,0,59
1396,816,1739,1279,1263,1,50
1318,-3,1402,1230,825,0,50
698,462,2199,1642,1416,0,74
1351,260,1480,1505,1395,50,51
1287,55,1749,1173,925,374,48
1416,1283,1391,1740,1251,0,70
1377,9,1321,1681,1192,62,60
1388,2104,1777,1079,1344,0,43
1410,1069,1190,870,994,0,33
711,285,2306,1106,1197,0,63
1367,251,1417,1269,1271,0,62
1386,683,1081,1286,1016,53,58
1376,1977,2022,589,1270,729,74
707,1518,3516,432,775,96,71
1354,163,1389,441,483,1029,62
1386,655,1137,1624,752,0,39
1387,761,821,1431,1023,0,64
1336,65,748,1166,1215,0,53
1380,806,1339,1724,795,0,42
1356,1415,2754,1027,1511,566,64
1391,880,2420,1212,1617,213,73
691,12,2346,1292,1299,573,68
1347,62,1672,880,1006,685,70
1423,866,1368,1365,900,0,60
1426,120,875,1926,1907,0,55
1353,349,801,918,1464,0,42
694,351,4012,854,1287,134,68
670,489,3811,416,1292,22,25
666,1484,3688,785,1372,505,64
1420,188,991,1751,1163,0,64
1405,2348,1760,1712,1246,0,77
1427,2234,1176,1589,1163,0,64
1371,293,3109,601,1324,110,43
1425,106,1331,2003,1823,0,64
1356,751,1337,1234,1569,116,52
1353,1533,2391,1227,1314,89,56
1421,620,1509,1854,1149,0,66
1367,241,1189,1099,832,0,51
1360,1398,1774,339,840,0,34
678,148,3167,1114,1195,725,64
1318,451,1142,1318,777,0,54
1363,50,1176,1042,1191,0,50
1387,599,2382,551,1173,0,35
1367,25,1335,1207,1051,42,34
1388,1518,1988,1590,991,0,50
1366,1853,1688,586,1307,0,35
1328,227,1951,1146,1699,507,53
1415,428,2168,1186,1326,0,67
1368,26,1198,870,1109,255,64
1343,573,1720,971,1149,229,43
1323,669,980,1187,730,0,51
667,371,4038,447,1328,195,26
1397,797,2985,1802,1098,9,62
1424,1390,2170,991,836,0,62
1423,1571,733,651,1021,384,66
1400,-23,1876,1077,716,230,52
1395,2170,1620,1567,814,552,64
1399,1648,1473,1800,872,544,60
1375,100,1085,1037,616,0,51
1396,643,1493,1755,1022,0,65
1357,1224,3411,1185,1256,201,66
1378,241,1226,1310,1155,0,61
1360,2122,2078,1436,1087,0,74
1419,438,1550,1834,1173,0,76
1343,553,1656,659,1376,53,46
1425,60,1920,1609,1338,69,68
1407,349,2070,1045,1179,0,71
1335,281,1894,1368,1121,250,64
1378,469,1202,1464,810,0,41
1378,705,984,1065,994,0,51
1394,2000,1409,1819,1307,273,74
1358,550,1302,1093,1015,0,32
1383,292,1133,1542,775,0,41
1369,155,1135,1549,740,0,48
1384,76,1457,1090,1000,540,52
1365,212,1156,1345,1161,101,52
1366,109,1282,1323,852,0,72
1425,620,2651,1222,927,0,59
1400,13,2631,1396,1228,181,80
683,192,2240,471,1606,0,39
1413,552,1496,631,1164,0,70
1399,1648,1564,1648,567,0,66
1387,1005,2656,296,750,0,33
1379,1612,2263,1445,806,774,58
1381,739,1236,1549,828,476,36
1412,1532,2578,965,1329,51,78
1376,348,2858,325,989,0,33
1350,929,2172,1214,744,198,41
1360,802,886,1376,1538,0,59
1391,820,2333,1867,1029,0,39
1418,706,1765,1794,1365,0,70
680,2412,1204,1539,999,0,47
1388,92,1248,376,504,868,47
1379,685,1660,854,1146,704,74
645,524,1722,1037,896,878,52
1369,578,1851,1141,1255,0,37
1387,1172,1033,1573,1279,0,70
1383,857,2817,316,918,0,31
1410,1041,3265,656,953,259,29
1420,304,1715,1442,1088,87,82
1417,779,1321,787,1137,0,33
1345,656,1640,1667,1370,82,82
697,848,2954,479,865,30,39
1391,1214,2014,1829,907,0,68
1414,1041,2914,792,1617,238,77
691,765,2195,1116,1076,195,37
1409,405,2857,673,1116,1,28
701,2209,3781,727,1165,206,65
1368,1076,2663,1690,898,0,55
691,364,1519,897,1624,11,43
1417,276,2872,986,1172,0,62
1390,2372,1007,1544,809,0,38
643,306,1932,1269,1079,0,54
1354,2163,1582,907,1494,799,68
1354,33,2080,593,1571,229,47
1344,964,1760,435,639,25,50
1366,49,1910,1178,1199,780,42
1396,2088,1527,1213,2133,0,65
1413,-2,1621,1118,709,0,49
1387,554,1313,1632,1711,7,63
1377,1093,1036,1467,828,0,39
1275,248,764,1205,740,957,52
682,895,1559,1082,709,944,55
695,1317,3109,503,1071,120,41
699,608,1801,1326,1262,0,68
678,264,2819,1123,1267,532,69
1386,86,1282,1290,938,0,68
1345,736,1262,1259,1259,34,61
1373,75,864,986,1570,0,63
852,252,2602,511,878,399,28
698,394,1795,1193,1175,0,65
1338,523,1612,1283,1635,0,51
1390,80,2611,504,657,0,61
1367,913,1466,636,616,36,48
1375,1546,981,1212,1550,0,59
1385,1057,1617,953,1080,497,59
1380,2665,1050,1545,646,3,31
1414,424,2900,1805,1379,24,86
1423,237,2149,1143,1063,0,65
1383,542,2698,1853,950,0,59
1319,246,988,1317,787,0,53
1407,5,2214,1627,1172,1,80
644,96,1475,1283,1143,369,42
1302,498,1650,1315,1184,754,66
1152,968,1869,1181,1118,297,56
692,498,2091,924,1856,109,43
695,40,2226,1299,1280,422,67
1417,2017,2306,1705,1227,0,72
1355,78,2801,1315,1525,110,50
711,875,2283,1027,1199,0,78
1366,16,1527,1475,1472,619,74
708,263,3620,433,793,0,68
1356,77,2839,487,726,0,57
1399,712,2429,1381,1004,0,63
1422,1672,1720,1290,768,90,69
1397,1082,1106,1107,1705,0,60
1401,1657,1947,944,925,599,57
1364,1523,1224,923,1216,0,51
1349,1214,2902,1048,1553,431,63
1397,580,3489,1171,1255,302,73
1414,192,1506,381,475,0,44
1361,187,2853,337,953,585,29
1350,476,1204,1040,925,5,35
1381,738,1335,1348,843,0,52
1347,154,2034,1281,1622,0,44
681,406,3191,419,1232,0,29
684,485,2171,1282,1139,558,70
1415,56,1832,305,1231,9,49
1423,290,1239,1575,1110,0,64
1294,452,1399,1137,946,1106,35
1424,208,1263,1634,1310,0,63
1360,672,1169,1323,752,0,46
669,109,858,791,1194,0,57
1385,358,1628,1373,1146,0,58
1357,356,1333,761,1598,0,42
1377,700,1894,1855,1721,262,64
1348,1331,1876,1801,1457,98,68
702,1199,3427,912,998,0,69
1395,1397,1188,397,1133,0,62
1380,1402,1159,1191,1306,270,66
1386,1011,2181,1877,1757,0,63
689,1103,2153,752,785,0,43
1425,603,1346,698,868,0,55
1394,1021,2188,582,614,0,66
1360,1259,1834,341,835,0,34
1343,25,1023,780,1661,0,50
1385,88,1287,1206,1184,0,36
1393,1175,2844,554,1125,0,32
1379,262,1294,1294,915,0,49
1387,303,3183,294,576,73,30
1374,641,1166,794,768,1,57
1326,290,2222,1269,1808,0,53
1372,49,2564,1264,1648,0,68
1350,172,1543,1258,1452,0,56
1379,534,1413,1819,787,0,40
1363,78,1161,1353,1144,10,61
1417,2311,1098,1730,1414,0,63
1391,118,1062,1646,856,0,40
1396,483,1698,1193,976,296,59
1362,35,3445,257,808,635,35
1326,1272,700,1175,1112,0,62
1374,2401,1238,1014,868,0,41
661,332,3062,395,808,377,37
1386,869,2675,462,815,273,56
1413,736,1382,927,1429,0,73
1409,409,1223,255,1024,0,53
1369,1554,1084,1303,824,0,32
1393,256,1334,1446,852,513,47
1357,96,2824,1181,1338,246,62
1328,121,2297,1062,1116,21,36
694,893,1275,865,1750,118,41
1290,161,2778,1005,1715,302,49
1342,442,1656,1287,1670,162,57
1308,1120,1228,1286,817,128,57
1327,474,2798,676,921,803,44
1358,372,1903,908,610,429,39
1415,1224,1569,1094,1237,0,65
1339,1278,2130,1232,825,0,35
1373,240,1254,1159,616,0,62
1347,403,1689,1102,982,555,59
1413,1299,2306,840,863,0,63
688,332,1475,663,579,0,51
1381,1084,770,1064,1474,0,58
1387,2604,1984,553,921,141,75
1376,136,1076,864,913,0,37
1413,1022,1421,1631,1156,0,68
666,281,3062,441,989,677,24
1370,1760,1180,478,1261,0,51
1372,742,1147,1298,898,0,48
1339,734,2354,1387,1028,525,65
1404,76,1777,794,1017,0,52
654,601,2309,1334,1254,139,51
1419,1782,1842,1168,1182,430,53
1391,612,2592,234,322,572,28
1377,452,1589,1610,975,352,38
1360,1319,1192,1140,1367,752,64
691,49,1652,1164,1171,0,36
708,2105,3450,1160,1310,278,71
1421,1765,1245,1285,1328,0,70
1395,2424,1432,1370,944,0,79
1358,565,2107,1907,2013,123,58
1368,262,3257,499,814,0,52
1357,489,1223,1164,1358,0,62
1380,112,1136,1244,1189,0,64
1396,1867,1009,1471,1293,0,50
1374,235,2272,1410,1266,0,78
1383,83,1012,1276,975,0,68
1380,260,1477,1544,1096,867,58
1306,2567,1035,836,760,478,55
1385,375,1768,1815,1548,317,71
1368,310,1626,1100,783,0,54
1372,2206,1409,1264,845,83,34
1382,958,2062,989,1016,0,40
1414,1088,1614,827,815,57,60
1412,2081,2047,642,941,331,27
1399,265,1015,1485,1515,0,69
1422,2117,2359,1804,937,0,72
1383,195,718,1602,696,0,39
1363,97,1778,1044,1324,641,63
1404,172,2557,388,933,0,32
1416,1193,1619,592,1133,0,70
1369,438,1696,918,1130,713,75
1428,1397,748,898,965,0,55
1424,2322,1856,893,985,0,53
1363,1406,2515,1851,941,0,69
1420,103,1518,441,502,0,43
1388,984,2353,574,1797,263,51
699,149,1434,1728,1482,0,71
1282,1125,1643,1094,887,461,44
1356,635,1094,1128,851,0,34
1346,67,1427,1419,1123,264,52
1376,105,3458,1242,1403,21,72
1410,978,2052,1569,1156,0,70
1423,2019,2221,1465,1028,0,69
1365,1304,1831,807,1350,757,61
703,519,2205,1185,1119,0,66
1392,444,1668,1671,1171,57,73
1372,1672,1714,1438,803,852,55
698,1056,2763,451,876,0,43
1397,76,2133,830,1484,0,78
1374,856,2307,1674,666,40,60
1395,610,578,322,608,56,47
1406,1178,1897,1591,1208,0,76
690,273,1794,1096,939,0,32
1385,1600,2014,398,564,0,51
1392,801,3296,1643,1215,0,84
1341,129,2993,1635,908,0,56
1402,2311,2026,869,1178,75,70
670,509,827,781,1148,0,58
1417,356,1833,1542,1413,0,70
1385,234,1886,1883,1894,0,63
1370,578,1182,1558,937,0,71
1366,401,1604,1095,794,63,38
1344,1954,1033,375,1591,0,44
1401,207,1208,1095,1103,0,80
1349,409,1908,949,707,609,47
682,465,3189,579,988,170,50
672,271,3594,399,1287,0,23
1409,196,1523,1132,1030,0,67
1403,1076,1961,872,1259,2,64
1378,987,2143,307,1247,589,61
1355,120,1507,354,1558,0,47
1370,185,924,1001,1433,0,45
1372,382,2866,1700,1016,138,66
1360,1747,1364,754,1351,274,49
1316,381,1851,1229,1583,48,49
1404,14,3109,710,1046,0,51
699,744,3586,448,972,0,40
698,1390,1653,1791,1495,0,69
1385,98,1293,1145,809,0,57
1418,237,2936,752,965,69,60
1367,366,1652,1435,941,0,67
1415,117,3109,513,1262,0,60
1382,57,1424,1123,1269,37,40
1294,98,1131,1032,686,698,41
1286,148,1987,1319,1382,597,56
1371,6,1287,1245,1122,0,54
684,185,2359,419,1355,0,30
1388,888,1335,1518,1627,0,61
1358,451,1347,1507,887,0,39
666,1065,3493,313,782,0,26
1419,1081,1379,1540,1137,0,71
1388,2214,1236,1127,1922,0,55
1396,1750,1969,1353,1644,0,64
1345,700,1741,580,1584,0,44
1358,16,1664,1385,1820,0,63
684,231,2109,1198,1278,286,31
1425,115,1028,1981,1791,0,66
689,637,971,227,624,1101,52
1394,76,2930,1830,1567,200,69
1357,1067,2666,454,645,0,51
1331,2028,3077,1379,925,0,65
1379,1142,1693,1492,1828,0,63
1324,190,1244,784,766,195,42
699,1355,1144,1311,1365,0,65
1429,570,1204,1646,1600,429,59
1340,214,962,1261,763,0,49
1374,393,1163,1451,1563,0,50
